dim,n,K,rep,n_t,n_c,W_true,V_true,W_hat,W_se,V_hat,V_se,eps_band,n_band,share_pos,V_loo,W_dev,V_dev,n_varV,W_cover,V_cover
3,500,50,19,281,219,0.37796080233885754,0.573486328125,0.47374801175722614,0.05546070047296112,0.5498046875,0.08034596677720625,0.011405382918241216,42,0.5498046875,,0.0957872094183686,-0.023681640625,3.227737188681965,1.0,1.0
3,500,50,20,241,259,0.37796080233885754,0.573486328125,0.445694568987372,0.07334860028085989,0.51025390625,0.10175437853937225,0.010886372797316277,38,0.51025390625,,0.06773376664851444,-0.063232421875,5.17697677596693,1.0,1.0
3,500,50,21,249,251,0.37796080233885754,0.573486328125,0.4461390541794477,0.07383297493331129,0.606689453125,0.09145938397387791,0.009118116206862583,38,0.606689453125,,0.06817825184059018,0.033203125,4.182409458440618,1.0,1.0
3,500,50,22,254,246,0.37796080233885754,0.573486328125,0.5915989923629406,0.07077181158603375,0.66015625,0.04308136529844792,0.010807051643639147,22,0.66015625,,0.21363819002408302,0.086669921875,0.9280020179891564,0.0,0.0
3,500,50,23,203,297,0.37796080233885754,0.573486328125,0.5313929908213746,0.07032477742036655,0.694091796875,0.06989789921757825,0.009715480023470847,36,0.694091796875,,0.15343218848251705,0.12060546875,2.4428581575153627,0.0,1.0
3,500,50,24,253,247,0.37796080233885754,0.573486328125,0.3726093462501182,0.06291098169784054,0.5126953125,0.06715754366140604,0.011112089186076935,44,0.5126953125,,-0.005351456088739326,-0.060791015625,2.2550678353168294,1.0,1.0
3,500,50,25,247,253,0.37796080233885754,0.573486328125,0.48383115267060006,0.057269183593828585,0.519775390625,0.05749258608281867,0.011109975145635187,32,0.519775390625,,0.10587035033174252,-0.0537109375,1.6526987272451572,1.0,1.0
3,500,50,26,258,242,0.37796080233885754,0.573486328125,0.5834453097305892,0.07087633936206514,0.6220703125,0.07237514364681628,0.012085300249646548,53,0.6220703125,,0.20548450739173163,0.048583984375,2.619080708948646,0.0,1.0
3,500,50,27,251,249,0.37796080233885754,0.573486328125,0.4955935702629286,0.060128888616253734,0.53466796875,0.09547788106390924,0.011323415540051882,55,0.53466796875,,0.11763276792407107,-0.038818359375,4.558012886226999,1.0,1.0
3,500,50,28,248,252,0.37796080233885754,0.573486328125,0.4502562241609498,0.05072542844996982,0.502685546875,0.08670607160853303,0.013179171166377025,66,0.502685546875,,0.07229542182209225,-0.07080078125,3.7589714268920287,1.0,1.0
3,500,50,29,257,243,0.37796080233885754,0.573486328125,0.4813340374065742,0.06329994409137321,0.542236328125,0.07410454213955568,0.01069773592749376,40,0.542236328125,,0.10337323506771667,-0.03125,2.745741582856592,1.0,1.0
3,500,50,30,234,266,0.37796080233885754,0.573486328125,0.46703821625876096,0.06526841041380724,0.57373046875,0.08719927330736567,0.010601391366252497,56,0.57373046875,,0.08907741391990343,0.000244140625,3.8018566326663277,1.0,1.0
3,500,50,31,259,241,0.37796080233885754,0.573486328125,0.5300029254878909,0.06766907700884162,0.5556640625,0.0756312520630994,0.0109638856119109,44,0.5556640625,,0.15204212314903331,-0.017822265625,2.8600431443160383,0.0,1.0
3,500,50,32,244,256,0.37796080233885754,0.573486328125,0.5036307699188397,0.06545187987710495,0.54052734375,0.054551069402767924,0.00960370072201157,25,0.54052734375,,0.12566996757998217,-0.032958984375,1.4879095864928014,1.0,1.0
3,500,50,33,240,260,0.37796080233885754,0.573486328125,0.49497899698220016,0.06152703928494747,0.603759765625,0.05989017779405483,0.009947904862720765,29,0.603759765625,,0.11701819464334262,0.0302734375,1.7934166981017492,1.0,1.0
3,500,50,34,265,235,0.37796080233885754,0.573486328125,0.4799129300066206,0.06459121960324145,0.513671875,0.08333088447379929,0.011750066521419139,65,0.513671875,,0.10195212766776307,-0.059814453125,3.4720181535928414,1.0,1.0
3,500,50,35,218,282,0.37796080233885754,0.573486328125,0.5227164690594025,0.06678583588595134,0.57666015625,0.07504617398668781,0.011043848478017872,37,0.57666015625,,0.14475566672054496,0.003173828125,2.815964115020109,0.0,1.0
3,500,50,36,258,242,0.37796080233885754,0.573486328125,0.6555243173888208,0.05982625852427581,0.618408203125,0.049534813860183186,0.011940260806101144,28,0.618408203125,,0.27756351504996324,0.044921875,1.2268488920814982,0.0,1.0
3,500,50,37,248,252,0.37796080233885754,0.573486328125,0.5105122824394617,0.06755270210774394,0.560791015625,0.06145441316767187,0.010019145738454003,35,0.560791015625,,0.13255148010060414,-0.0126953125,1.888322448891461,0.0,1.0
3,500,50,38,244,256,0.37796080233885754,0.573486328125,0.39980476895494915,0.05101701821268196,0.4873046875,0.06084818525463739,0.010766770828430128,35,0.4873046875,,0.021843966616091615,-0.086181640625,1.8512508243913355,1.0,1.0
3,500,50,39,243,257,0.37796080233885754,0.573486328125,0.46017675564267946,0.05727153691517105,0.5126953125,0.04360937289714653,0.014933117793602393,43,0.5126953125,,0.08221595330382192,-0.060791015625,0.9508887022411893,1.0,1.0
3,500,50,40,251,249,0.37796080233885754,0.573486328125,0.5680470434770306,0.07709843189264226,0.646484375,0.09162852516121717,0.01092407677147219,42,0.646484375,,0.19008624113817307,0.072998046875,4.197893311609904,0.0,1.0
3,500,50,41,256,244,0.37796080233885754,0.573486328125,0.47232524500480344,0.06951837888184816,0.56640625,0.046294209700952244,0.010272471754054286,21,0.56640625,,0.0943644426659459,-0.007080078125,1.0715769259178705,1.0,1.0
3,500,50,42,242,258,0.37796080233885754,0.573486328125,0.38606624299548903,0.06397218579652864,0.572265625,0.07191853495874415,0.008918701880789234,34,0.572265625,,0.00810544065663149,-0.001220703125,2.586137835306052,1.0,1.0
3,500,50,43,258,242,0.37796080233885754,0.573486328125,0.3612375499965935,0.062167302687143114,0.484130859375,0.06976587597822591,0.01056458935801279,39,0.484130859375,,-0.016723252342264017,-0.08935546875,2.4336387255045993,1.0,1.0
3,500,50,44,239,261,0.37796080233885754,0.573486328125,0.5079793272291272,0.07184777112764712,0.54296875,0.05047237783730647,0.012234540257653477,34,0.54296875,,0.13001852489026966,-0.030517578125,1.273730462275913,1.0,1.0
3,500,50,45,237,263,0.37796080233885754,0.573486328125,0.5433647654218726,0.07529354578880404,0.58837890625,0.06323011785584648,0.012050136554692155,39,0.58837890625,,0.16540396308301508,0.014892578125,1.9990239020321179,0.0,1.0
3,500,50,46,229,271,0.37796080233885754,0.573486328125,0.5913596938024666,0.07282476300060486,0.570068359375,0.06298932039640018,0.011679282719079212,35,0.570068359375,,0.21339889146360902,-0.00341796875,1.9838272420001777,0.0,1.0
3,500,50,47,255,245,0.37796080233885754,0.573486328125,0.5600403610830378,0.06801689690052097,0.608642578125,0.039247565878108875,0.011008951039338142,26,0.608642578125,,0.18207955874418025,0.03515625,0.7701857136782481,0.0,1.0
3,500,50,48,228,272,0.37796080233885754,0.573486328125,0.49877570319090336,0.06325674922268204,0.53173828125,0.04763123387061269,0.011384061975233489,29,0.53173828125,,0.12081490085204583,-0.041748046875,1.1343672200185007,1.0,1.0
