cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover
F1_cubic,25,0.04687213902070653,0.5,0.3755472120118474,0.15348476873676678,0.48388671875,0.021902491412358307,0.003933712811023223,68,0.05909761712668386,-0.01611328125,1.0,0.10661262971606025,0.0
F1_cubic,26,0.04687213902070653,0.5,0.383141912768331,0.14278646699415465,0.478515625,0.02121620318756722,0.0038746036584621914,62,0.05671836789651341,-0.021484375,1.0,0.09591432797344812,0.0
F1_cubic,27,0.04687213902070653,0.5,0.36133737121986076,0.12642983829491466,0.4296875,0.02074147893548007,0.003943994940681653,65,0.05569953169923383,-0.0703125,1.0,0.07955769927420814,0.0
F1_cubic,28,0.04687213902070653,0.5,0.32571943483676186,0.14039024338629993,0.49951171875,0.021879702623146556,0.0035830843219304105,55,0.04998622313696528,-0.00048828125,1.0,0.09351810436559341,0.0
F1_cubic,29,0.04687213902070653,0.5,0.31173977856215557,0.1268041394910616,0.5,0.022072932227453875,0.003372160998535803,81,0.0773594044301203,0.0,1.0,0.07993200047035506,0.0
F1_cubic,30,0.04687213902070653,0.5,0.3973474401754303,0.16396518013017722,0.50390625,0.022438424239536105,0.004060564378849309,83,0.06825692513810241,0.00390625,1.0,0.11709304110947069,0.0
F1_cubic,31,0.04687213902070653,0.5,0.4072029575882021,0.14076707584177203,0.44970703125,0.02125804209329381,0.00399640444173014,66,0.05319347289311537,-0.05029296875,1.0,0.0938949368210655,0.0
F1_cubic,32,0.04687213902070653,0.5,0.35103592929700006,0.12456217504393538,0.4461669921875,0.020826606566471468,0.0036691891594084008,67,0.06969022284181665,-0.0538330078125,1.0,0.07769003602322885,0.0
F1_cubic,33,0.04687213902070653,0.5,0.34084711690422337,0.1298087203411089,0.4747314453125,0.022196949961161325,0.0035010350134591795,70,0.06619477505996314,-0.0252685546875,1.0,0.08293658132040238,0.0
F1_cubic,34,0.04687213902070653,0.5,0.368274243934742,0.16104169883748515,0.5225830078125,0.023160637084991827,0.003841731741465771,62,0.05165763676437084,0.0225830078125,1.0,0.11416955981677862,0.0
F1_cubic,35,0.04687213902070653,0.5,0.34042657019237144,0.12408080566544202,0.4605712890625,0.02025420471595608,0.003615408247045584,83,0.07234437484207845,-0.0394287109375,1.0,0.0772086666447355,0.0
F1_cubic,36,0.04687213902070653,0.5,0.3323912756783465,0.14998401139749948,0.5274658203125,0.023285513498527196,0.003417420497326061,85,0.0840042494214172,0.0274658203125,1.0,0.10311187237679295,0.0
F1_cubic,37,0.04687213902070653,0.5,0.34013786810541474,0.14814385676827818,0.5343017578125,0.023608166724083668,0.003501505332601119,72,0.06256535583315219,0.0343017578125,1.0,0.10127171774757165,0.0
F1_cubic,38,0.04687213902070653,0.5,0.33558500779503736,0.13611076406500144,0.5050048828125,0.022139371951974553,0.003463249485236172,84,0.0815066863448232,0.0050048828125,1.0,0.08923862504429492,0.0
F1_cubic,39,0.04687213902070653,0.5,0.3735381342800723,0.18162617105239087,0.558349609375,0.024872802324549543,0.0038631292003362488,74,0.06481879543559181,0.058349609375,1.0,0.13475403203168435,0.0
F1_cubic,40,0.04687213902070653,0.5,0.3901522013957157,0.15417410289629935,0.5181884765625,0.022528790711660463,0.003933194538472911,63,0.05614242939208787,0.0181884765625,1.0,0.10730196387559282,0.0
F1_cubic,41,0.04687213902070653,0.5,0.45208437229178133,0.21060171819203816,0.5535888671875,0.023945299599190124,0.004497282796473003,62,0.046535471911988896,0.0535888671875,1.0,0.16372957917133163,0.0
F1_cubic,42,0.04687213902070653,0.5,0.39016032736730355,0.1876585012136378,0.590576171875,0.026351888657964444,0.003811683738128149,44,0.043923262439685334,0.090576171875,0.0,0.14078636219293128,0.0
F1_cubic,43,0.04687213902070653,0.5,0.4051336951895172,0.16291364232341718,0.5150146484375,0.02313778375666926,0.004150373221262875,74,0.05751543892027019,0.0150146484375,1.0,0.11604150330271065,0.0
