variant,n,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_dev,W_cover,V_dev,V_cover
dense_K200,1000,24,50,1.0,1.4003308401537289,0.6498337618492649,0.5294189453125,0.05051353281371157,0.014917709961588446,57,0.03192768197732315,0.29201240133891604,0.0,-0.0403289794921875,1.0
screen_full,1000,24,7,1.0,0.5344165456232677,0.3423320342271674,0.5535888671875,0.04504963629469008,0.007252165500876543,84,0.06670071778419993,-0.015489326283181448,1.0,-0.0161590576171875,1.0
screen_split,1000,24,10,1.0,0.7454949440977874,0.44114193052903183,0.55908203125,0.06988731011621344,0.008964868253605148,63,0.05465877717276971,0.08332057001868298,1.0,-0.0106658935546875,1.0
oracle,1000,24,2,1.0,0.3114475947360036,0.374827789936774,0.5791015625,0.04648343775780602,0.006889543122750326,46,0.04923964905111981,0.017006429426425163,1.0,0.0093536376953125,1.0
dense_K200,1000,25,50,1.0,1.5544923492418996,0.8377694634061298,0.571533203125,0.05972224128004617,0.01701015062268758,77,0.04142560737328477,0.47994810289578094,0.0,0.0017852783203125,1.0
screen_full,1000,25,10,1.0,0.5756023714931143,0.4463817841449352,0.58642578125,0.05146992104797244,0.008449925561591303,52,0.03986677318965815,0.08856042363458633,1.0,0.0166778564453125,1.0
screen_split,1000,25,10,1.0,0.8906929163265781,0.5966416038036166,0.601318359375,0.07276262385969356,0.011363129078428038,63,0.04067280844520451,0.2388202432932678,0.0,0.0315704345703125,1.0
oracle,1000,25,2,1.0,0.2340470924734843,0.34922834751409393,0.609619140625,0.05087054368932022,0.006610826134121018,64,0.06938395538128861,-0.008593012996254923,1.0,0.0398712158203125,1.0
dense_K200,1000,26,50,1.0,1.3290348805905694,0.6526683915976954,0.5482177734375,0.05341506904911919,0.014422814244393527,61,0.041681112018171845,0.29484703108734656,0.0,-0.0215301513671875,1.0
screen_full,1000,26,10,1.0,0.5073592210213748,0.36083442755534023,0.5506591796875,0.05159113180084289,0.00788308542191627,44,0.037073897057476685,0.00301306704499138,1.0,-0.0190887451171875,1.0
screen_split,1000,26,10,1.0,0.6764947388388384,0.416020309425823,0.56494140625,0.06750016429188815,0.00858306268446105,59,0.06172785685378267,0.05819894891547417,1.0,-0.0048065185546875,1.0
oracle,1000,26,2,1.0,0.26355219446980716,0.3705516814282578,0.616455078125,0.04707206668674405,0.007101091103346835,58,0.05938523231166263,0.012730320917908933,1.0,0.0467071533203125,1.0
dense_K200,1000,27,50,1.0,1.4674736197232612,0.7336440960779417,0.54296875,0.055118676286402386,0.016032777050466736,78,0.047868833157170054,0.3758227355675928,0.0,-0.0267791748046875,1.0
screen_full,1000,27,10,1.0,0.6495975470791551,0.4889631004066952,0.6041259765625,0.050347019357649216,0.009022121709951376,64,0.04381768130275999,0.13114173989634637,0.0,0.0343780517578125,1.0
screen_split,1000,27,10,1.0,0.922220949918749,0.5908294407426509,0.6572265625,0.07419226364500238,0.009363576675848894,48,0.04635056123952583,0.23300808023230202,0.0,0.0874786376953125,1.0
oracle,1000,27,2,1.0,0.3885216541319454,0.3919972989608269,0.5882568359375,0.04768646059171208,0.007590059724465813,68,0.06804429925630749,0.03417593845047806,1.0,0.0185089111328125,1.0
dense_K200,1000,28,50,1.0,1.3938313982789519,0.7100633850875973,0.56005859375,0.05304053792018228,0.01500956912978229,67,0.04122585748034561,0.3522420245772484,0.0,-0.0096893310546875,1.0
screen_full,1000,28,8,1.0,0.4927434946105299,0.4237462915996142,0.5838623046875,0.050505848330401004,0.007805717513844834,61,0.043424888752370806,0.06592493108926534,1.0,0.0141143798828125,1.0
screen_split,1000,28,10,1.0,0.7956159908971575,0.4817002192061296,0.568603515625,0.07317527908964204,0.01007391978525917,68,0.06216759300490355,0.12387885869578075,1.0,-0.0011444091796875,1.0
oracle,1000,28,2,1.0,0.4739786259980574,0.4023045163377712,0.580322265625,0.04711779409600107,0.0075648341597003375,38,0.03293205273578867,0.04448315582742235,1.0,0.0105743408203125,1.0
dense_K200,1000,29,50,1.0,1.4394137141408325,0.7880971156442178,0.5819091796875,0.05192642257163382,0.015438881899340524,66,0.041588262340889415,0.43027575513386895,0.0,0.0121612548828125,1.0
screen_full,1000,29,3,1.0,0.43482224210030374,0.3739024563222125,0.5272216796875,0.04053376957563358,0.007791952718571943,89,0.08032246543359493,0.01608109581186362,1.0,-0.0425262451171875,1.0
screen_split,1000,29,8,1.0,0.8335078115154793,0.5618917457399561,0.5806884765625,0.0612546310482386,0.010518106797823055,61,0.054240580404373316,0.2040703852296073,0.0,0.0109405517578125,1.0
oracle,1000,29,2,1.0,0.38423368410404896,0.37461059070302455,0.52001953125,0.040350931950935656,0.007506532022663171,76,0.07565435542597387,0.016789230192675697,1.0,-0.0497283935546875,1.0
dense_K200,1000,30,50,1.0,1.4775882511418348,0.7174543779162554,0.5521240234375,0.052193851316644,0.015407214951212491,76,0.04186418910734115,0.3596330174059066,0.0,-0.0176239013671875,1.0
screen_full,1000,30,10,1.0,0.5140944572169308,0.3589516280836882,0.5631103515625,0.04788121268848195,0.007473453197211364,49,0.04557658623732369,0.0011302675733393386,1.0,-0.0066375732421875,1.0
screen_split,1000,30,5,1.0,0.85197192583996,0.4421856180811786,0.543701171875,0.06840029584884347,0.01050869262247695,76,0.05731219099057032,0.08436425757082977,1.0,-0.0260467529296875,1.0
oracle,1000,30,2,1.0,0.35323677661217573,0.2698997762479455,0.576171875,0.04752849556883248,0.006474805006923164,75,0.06928003966065466,-0.08792158426240337,1.0,0.0064239501953125,1.0
dense_K200,1000,31,50,1.0,1.6250064434845415,0.7650033138379312,0.53125,0.05578033817160584,0.01724002149380732,68,0.036550314587711255,0.40718195332758234,0.0,-0.0384979248046875,1.0
screen_full,1000,31,10,1.0,0.5924013087479623,0.4405618719553883,0.59814453125,0.05711814244151081,0.007842808192905884,51,0.04332914112209115,0.08274051144503947,1.0,0.0283966064453125,1.0
screen_split,1000,31,10,1.0,0.7276192272314427,0.3965879391691949,0.552978515625,0.07875409199463121,0.008242294493695436,67,0.06475196543117473,0.03876657865884603,1.0,-0.0167694091796875,1.0
oracle,1000,31,2,1.0,0.269432800926988,0.3627798151479221,0.603515625,0.050197773531728544,0.0064446450742878724,33,0.03421925649384733,0.004958454637573273,1.0,0.0337677001953125,1.0
dense_K200,1000,32,50,1.0,1.371532265699505,0.7245527703122385,0.5665283203125,0.05770674271494597,0.01489788844042531,68,0.05292716811318978,0.3667314098018897,0.0,-0.0032196044921875,1.0
screen_full,1000,32,5,1.0,0.5228624251758708,0.46664136443891535,0.6468505859375,0.05343283928174304,0.00790647796915787,73,0.057739704504627155,0.1088200039285665,0.0,0.0771026611328125,1.0
screen_split,1000,32,3,1.0,0.7744360054276156,0.5088572116178163,0.6680908203125,0.07487913259392132,0.010355462821093668,74,0.07049145103901618,0.15103585110746742,0.0,0.0983428955078125,1.0
oracle,1000,32,2,1.0,0.3007736653344169,0.4170457329368091,0.6163330078125,0.048244211896243124,0.0069237121810404745,97,0.11614726158050286,0.059224372426460226,1.0,0.0465850830078125,1.0
dense_K200,1000,33,50,1.0,1.4111671174508669,0.6302622887393794,0.5218505859375,0.050717097885090656,0.014907557929094739,45,0.032743740406790026,0.27244092822903054,0.0,-0.0478973388671875,1.0
screen_full,1000,33,10,1.0,0.5565101998363692,0.39680543117501466,0.5673828125,0.05086123689163864,0.007992443679657162,68,0.049954542270980756,0.038984070664665804,1.0,-0.0023651123046875,1.0
screen_split,1000,33,5,1.0,1.0435821158232412,0.41070752208029243,0.4805908203125,0.05873728397495054,0.011482312608092588,77,0.04882025834554223,0.05288616156994358,1.0,-0.0891571044921875,1.0
oracle,1000,33,2,1.0,0.2947097564483862,0.3438326268324273,0.5140380859375,0.04333757518554053,0.007218982486528004,61,0.05753293540834664,-0.013988733677921528,1.0,-0.0557098388671875,1.0
dense_K200,1000,34,50,1.0,1.308401052391142,0.7271137478766907,0.5826416015625,0.05340194982949685,0.01426318221070049,60,0.040081743718746364,0.36929238736634185,0.0,0.0128936767578125,1.0
