dim,rep,V_true,V_rf,V_se,h_rmse_rf,h_rmse_gbm,V_gbm,V_dml,corr,V_rf_dev,V_rf_cover,V_gbm_dev,V_gbm_cover,V_dml_dev,V_dml_cover
10,16,0.5839996337890625,0.60888671875,0.034380353959039246,0.5906687995937097,0.5759613790792465,0.62939453125,0.6061035950552484,-0.023290936194751623,0.0248870849609375,1.0,0.0453948974609375,1.0,0.022103961266185856,1.0
10,17,0.5839996337890625,0.5894775390625,0.034829113961324605,0.5315480754160703,0.5714164643120927,0.614013671875,0.6344935619170855,0.020479890042085475,0.0054779052734375,1.0,0.0300140380859375,1.0,0.050493928128023,1.0
10,18,0.5839996337890625,0.5648193359375,0.03607409324472402,0.59064497045374,0.6032694716719744,0.5916748046875,0.5483260045738453,-0.043348800113654676,-0.0191802978515625,1.0,0.0076751708984375,1.0,-0.03567362921521722,1.0
10,19,0.5839996337890625,0.6302490234375,0.03719223603896271,0.6003384406317835,0.5762376584956811,0.638916015625,0.5245005313600224,-0.11441548426497763,0.0462493896484375,1.0,0.0549163818359375,1.0,-0.05949910242904011,1.0
10,20,0.5839996337890625,0.58349609375,0.04135508435499076,0.5588230736980967,0.5806040078312038,0.5933837890625,0.6550846519174628,0.06170086285496283,-0.0005035400390625,1.0,0.0093841552734375,1.0,0.07108501812840029,1.0
10,21,0.5839996337890625,0.5968017578125,0.030649307450125927,0.5353801042613048,0.5436237498967195,0.6182861328125,0.5878325965152991,-0.03045353629720088,0.0128021240234375,1.0,0.0342864990234375,1.0,0.003832962726236566,1.0
10,22,0.5839996337890625,0.6070556640625,0.03283764197163257,0.5488103157996118,0.5715185086782221,0.60595703125,0.6241279827682802,0.018170951518280215,0.0230560302734375,1.0,0.0219573974609375,1.0,0.04012834897921769,1.0
10,23,0.5839996337890625,0.60888671875,0.03297142076213151,0.5038134320521513,0.5705800004997768,0.611572265625,0.5171221663879589,-0.09445009923704106,0.0248870849609375,1.0,0.0275726318359375,1.0,-0.06687746740110356,0.0
10,24,0.5839996337890625,0.6202392578125,0.03382854693690682,0.6032994083156887,0.5741624714076102,0.614990234375,0.5858150443631729,-0.0291751900118271,0.0362396240234375,1.0,0.0309906005859375,1.0,0.0018154105741103876,1.0
10,25,0.5839996337890625,0.5863037109375,0.0366177221230569,0.5870415573278314,0.5765525925116181,0.625,0.6419168531778923,0.016916853177892315,0.0023040771484375,1.0,0.0410003662109375,1.0,0.057917219388829766,1.0
10,26,0.5839996337890625,0.56884765625,0.030179199840309295,0.6135711063248982,0.5928210413741244,0.5584716796875,0.6628864275961024,0.10441474790860245,-0.0151519775390625,1.0,-0.0255279541015625,1.0,0.07888679380703989,0.0
10,27,0.5839996337890625,0.612060546875,0.028388321851168713,0.579359169783563,0.55675969640307,0.6207275390625,0.5282837355397947,-0.09244380352270529,0.0280609130859375,1.0,0.0367279052734375,1.0,-0.055715898249267815,0.0
10,28,0.5839996337890625,0.58349609375,0.04062414458560142,0.5758544398327697,0.6052819507820251,0.6024169921875,0.6042934052823935,0.0018764130948935517,-0.0005035400390625,1.0,0.0184173583984375,1.0,0.020293771493331003,1.0
10,29,0.5839996337890625,0.5950927734375,0.040141778059584174,0.5628522433360202,0.5687918163391127,0.6097412109375,0.6430902051667204,0.033348994229220455,0.0110931396484375,1.0,0.0257415771484375,1.0,0.05909057137765794,1.0
10,30,0.5839996337890625,0.6153564453125,0.028965436617496093,0.574546773313846,0.6041128745379147,0.6258544921875,0.6470755542600274,0.021221062072527337,0.0313568115234375,1.0,0.0418548583984375,1.0,0.06307592047096489,0.0
