dgp,dim,n,K,rep,W_true,V_true,W_ss,V_ss,W_loo,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_hat_dev,W_hat_cover,W_ss_dev,W_ss_cover,W_loo_dev,W_loo_cover,V_hat_dev,V_hat_cover,V_ss_dev,V_ss_cover
dense,10,4000,200,56,0.34094618144048716,0.5839996337890625,0.36386242484031706,0.6608832107065447,0.35098135013127185,0.6235640915472139,0.42714447715062964,0.6004638671875,0.026473334643095134,0.008708640610015687,74,0.03457169166681588,0.08619829571014248,0.0,0.022916243399829894,1.0,0.01003516869078469,1.0,0.0164642333984375,1.0,0.07688357691748215,0.0
dense,10,4000,200,57,0.34094618144048716,0.5839996337890625,0.3659139712470514,0.49765140589882706,0.35892263032214194,0.6174191110685496,0.4337529776904091,0.5865478515625,0.026388516803715036,0.00901850199145162,67,0.029845546157931935,0.09280679624992194,0.0,0.024967789806564222,1.0,0.017976448881654783,1.0,0.0025482177734375,1.0,-0.08634822789023544,0.0
dense,10,4000,200,58,0.34094618144048716,0.5839996337890625,0.3553071406000883,0.5593148805701459,0.34664870475491855,0.6125827156627742,0.4197295118374625,0.5797119140625,0.02576869349564072,0.008956086537425072,64,0.03331234885019142,0.07878333039697533,0.0,0.014360959159601117,1.0,0.005702523314431385,1.0,-0.0042877197265625,1.0,-0.02468475321891661,1.0
dense,10,4000,200,59,0.34094618144048716,0.5839996337890625,0.3793670423165493,0.7013580586284252,0.3758295078182319,0.5980668541863506,0.4466944055086918,0.6148681640625,0.026595167588102594,0.008664929493503764,71,0.03318612520619089,0.10574822406820467,0.0,0.03842086087606211,1.0,0.03488332637774472,1.0,0.0308685302734375,1.0,0.11735842483936265,0.0
dense,10,4000,200,60,0.34094618144048716,0.5839996337890625,0.326552922098668,0.5811003937964649,0.33167016787588516,0.5668365464072026,0.40074577152567314,0.603515625,0.02630818108642188,0.008021991293556945,51,0.02925718179747281,0.05979959008518598,0.0,-0.014393259341819176,1.0,-0.009276013564602004,1.0,0.0195159912109375,1.0,-0.0028992399925975576,1.0
dense,10,4000,200,61,0.34094618144048716,0.5839996337890625,0.32734274585094864,0.6352450966523898,0.33138288364384216,0.63723977589516,0.4043557183877352,0.5799560546875,0.02511838456722483,0.008305388401042385,50,0.028286415786824094,0.06340953694724805,0.0,-0.013603435589538526,1.0,-0.009563297796644998,1.0,-0.0040435791015625,1.0,0.05124546286332732,1.0
dense,10,4000,200,62,0.34094618144048716,0.5839996337890625,0.3088788941464618,0.572043820685283,0.2874041875481499,0.5516212603160011,0.37636663409932763,0.5687255859375,0.025962166354029738,0.007953929081603093,67,0.03793571812907211,0.03542045265884047,1.0,-0.03206728729402536,1.0,-0.05354199389233727,0.0,-0.0152740478515625,1.0,-0.011955813103779467,1.0
dense,10,4000,200,63,0.34094618144048716,0.5839996337890625,0.3725266732495516,0.5059197582229773,0.3474646029162657,0.5316488747749191,0.4249448659072992,0.572265625,0.02466592808269865,0.008559092364891276,71,0.03184259370411291,0.08399868446681202,0.0,0.031580491809064415,1.0,0.006518421475778524,1.0,-0.0117340087890625,1.0,-0.0780798755660852,0.0
dense,10,4000,200,64,0.34094618144048716,0.5839996337890625,0.4398122250760775,0.6345273310521504,0.40531182096860235,0.5977989006404858,0.46815594745195993,0.6024169921875,0.02689090186517773,0.008768690927405927,52,0.02767389895831881,0.12720976601147277,0.0,0.09886604363559032,0.0,0.06436563952811519,0.0,0.0184173583984375,1.0,0.05052769726308792,1.0
dense,10,4000,200,65,0.34094618144048716,0.5839996337890625,0.4132317771518671,0.5064539707541293,0.3848943412672894,0.5780909142439988,0.4531477799837213,0.5970458984375,0.025638751877927583,0.008520783014203828,62,0.03158834921256103,0.11220159854323414,0.0,0.07228559571137994,0.0,0.043948159826802224,1.0,0.0130462646484375,1.0,-0.07754566303493315,0.0
