variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_split,1.0,17,6,1.0,0.2866151615360819,0.21689356531965592,0.6202392578125,0.0362922358087888,0.0038108427275167058,50,0.06148805093486289,0.16169024107268498,0.11927378683678294,0.5697479248046875,0.0504913330078125,1.0,0.09761977848287298,0.0,0.04241645423590204,1.0
screen_full,1.0,18,9,1.0,0.2424873277660512,0.18618111553656538,0.61376953125,0.025555687005126743,0.003409832260916559,57,0.05243289921931532,0.15251420611951244,0.11927378683678294,0.5697479248046875,0.0440216064453125,1.0,0.06690732869978244,0.0,0.0332404192827295,1.0
screen_split,1.0,18,6,1.0,0.38684978764355504,0.27021450981420625,0.6082763671875,0.03481236470904641,0.004851620359031781,43,0.04252011933743837,0.23249799218655148,0.11927378683678294,0.5697479248046875,0.0385284423828125,1.0,0.1509407229774233,0.0,0.11322420534976854,0.0
screen_full,1.0,19,10,1.0,0.26186270801602524,0.15756931902516003,0.5496826171875,0.024098187946953026,0.0035691782552246423,68,0.05703433181486046,0.12077075164141161,0.11927378683678294,0.5697479248046875,-0.0200653076171875,1.0,0.038295532188377085,1.0,0.0014969648046286727,1.0
screen_split,1.0,19,6,1.0,0.3412870737616347,0.16937411085375,0.55419921875,0.031485152795111215,0.0036390500602243377,79,0.08523782508014977,0.0977060930130691,0.11927378683678294,0.5697479248046875,-0.0155487060546875,1.0,0.05010032401696707,1.0,-0.021567693823713846,1.0
screen_full,1.0,20,5,1.0,0.2724203822087443,0.1484905018736959,0.52001953125,0.022730442698202905,0.0034363428895961556,79,0.06976660795273719,0.11154186843526565,0.11927378683678294,0.5697479248046875,-0.0497283935546875,1.0,0.02921671503691295,1.0,-0.007731918401517296,1.0
screen_split,1.0,20,10,1.0,0.4385081317795569,0.23756411778189965,0.5943603515625,0.03634924276192662,0.004649506143325924,65,0.05685897472844701,0.17530985403744317,0.11927378683678294,0.5697479248046875,0.0246124267578125,1.0,0.1182903309451167,0.0,0.05603606720066023,1.0
screen_full,1.0,21,10,1.0,0.24791320889809015,0.12789773628064466,0.5189208984375,0.023395656355920887,0.0029721085063173385,68,0.06437127846884476,0.08075374125499776,0.11927378683678294,0.5697479248046875,-0.0508270263671875,1.0,0.008623949443861717,1.0,-0.03852004558178518,1.0
screen_split,1.0,21,10,1.0,0.37683917868740485,0.16259333596565584,0.503173828125,0.032543243265885875,0.003925660877623703,55,0.061064058118616746,0.09360555754831645,0.11927378683678294,0.5697479248046875,-0.0665740966796875,1.0,0.0433195491288729,1.0,-0.025668229288466488,1.0
screen_full,1.0,22,7,1.0,0.25048786208003837,0.1590108757046212,0.58203125,0.02463455511490449,0.003113223446944333,76,0.07469826794832156,0.11405050602671558,0.11927378683678294,0.5697479248046875,0.0122833251953125,1.0,0.03973708886783825,1.0,-0.005223280810067357,1.0
screen_split,1.0,22,6,1.0,0.4166639117971139,0.2359604891099813,0.6083984375,0.03562658122020383,0.00425668646693122,60,0.062321230927103684,0.178460461410705,0.11927378683678294,0.5697479248046875,0.0386505126953125,1.0,0.11668670227319836,0.0,0.05918667457392207,1.0
screen_full,1.0,23,10,1.0,0.27191625733140334,0.14202123175438108,0.50146484375,0.022278587559193777,0.003492418596705921,58,0.04880351667084446,0.10667503253163976,0.11927378683678294,0.5697479248046875,-0.0682830810546875,1.0,0.022747444917598142,1.0,-0.012598754305143178,1.0
screen_split,1.0,23,9,1.0,0.35205040993595565,0.16944354540174017,0.5269775390625,0.033868232002854035,0.004155818498797829,74,0.07263191598772845,0.1037070048465797,0.11927378683678294,0.5697479248046875,-0.0427703857421875,1.0,0.05016975856495723,1.0,-0.01556678199020324,1.0
screen_full,1.0,24,10,1.0,0.28119498172166874,0.16897467909065375,0.567626953125,0.024261624749940605,0.0035198056422939025,69,0.05610137819699631,0.13315156889878282,0.11927378683678294,0.5697479248046875,-0.0021209716796875,1.0,0.04970089225387081,0.0,0.013877782061999883,1.0
screen_split,1.0,24,10,1.0,0.3216669897981783,0.17319366147808546,0.528076171875,0.03220237993739166,0.003774253210907913,49,0.06441475504610279,0.10416199114107381,0.11927378683678294,0.5697479248046875,-0.0416717529296875,1.0,0.05391987464130252,1.0,-0.015111795695709127,1.0
screen_full,1.0,25,7,1.0,0.2724900502442046,0.22735907996284332,0.6429443359375,0.026360763648952772,0.0037679033922904583,58,0.04789078434014426,0.19737250148181879,0.11927378683678294,0.5697479248046875,0.0731964111328125,1.0,0.10808529312606038,0.0,0.07809871464503584,0.0
screen_split,1.0,25,9,1.0,0.41196137026038065,0.2899760778063598,0.6298828125,0.03653481520848652,0.004955779747204909,50,0.05036536729513082,0.24035513888382465,0.11927378683678294,0.5697479248046875,0.0601348876953125,1.0,0.17070229096957687,0.0,0.12108135204704171,0.0
