cell,rep,truth,plug,loo,se_plug,se_aug,h_rmse,plug_dev,loo_dev,plug_cover,loo_cover_plugse,loo_cover_augse
V_share81,86,0.8134002685546875,0.78369140625,1.0101818870584203,0.02646642705068171,0.02718976021552548,0.6160094139635968,-0.0297088623046875,0.19678161850373277,1.0,0.0,0.0
V_share81,87,0.8134002685546875,0.7642822265625,0.5524847242940498,0.031170182000402356,0.03166808949733629,0.6523911750133824,-0.0491180419921875,-0.2609155442606377,1.0,0.0,0.0
V_share81,88,0.8134002685546875,0.7984619140625,0.8380049606535402,0.032839896243342326,0.033041412803023515,0.57560305395045,-0.0149383544921875,0.024604692098852743,1.0,1.0,1.0
V_share81,89,0.8134002685546875,0.7572021484375,0.6208694859228496,0.030961487057285648,0.031282650544511986,0.5866233239424192,-0.0561981201171875,-0.19253078263183787,1.0,0.0,0.0
V_share81,90,0.8134002685546875,0.7841796875,0.716626697506149,0.03257585437553758,0.032763515761895866,0.5899801611878333,-0.0292205810546875,-0.09677357104853845,1.0,0.0,0.0
V_share81,91,0.8134002685546875,0.755859375,0.7879992063180253,0.032494894601096155,0.03268302331988004,0.5752579484298527,-0.0575408935546875,-0.025401062236662164,1.0,1.0,1.0
V_share81,92,0.8134002685546875,0.767822265625,0.708227839760963,0.03208785451104699,0.03229733371961308,0.5493008669187085,-0.0455780029296875,-0.10517242879372446,1.0,0.0,0.0
V_share81,93,0.8134002685546875,0.75537109375,0.7731311604600459,0.030376228801830496,0.030539146671529245,0.6228794576991645,-0.0580291748046875,-0.04026910809464157,1.0,1.0,1.0
V_share81,94,0.8134002685546875,0.7783203125,1.1272906559665214,0.036108308202783365,0.037133372737947874,0.6099158793648768,-0.0350799560546875,0.31389038741183395,1.0,0.0,0.0
V_share81,95,0.8134002685546875,0.7724609375,0.9712321705412839,0.02857447000827772,0.029132116835773023,0.560094164337798,-0.0409393310546875,0.15783190198659636,1.0,0.0,0.0
V_share81,96,0.8134002685546875,0.77587890625,0.6485136661608019,0.039090861008647004,0.03936843159645932,0.6282016522449263,-0.0375213623046875,-0.16488660239388564,1.0,0.0,0.0
V_share81,97,0.8134002685546875,0.764404296875,0.8607297063361704,0.03403051332004167,0.03421445676515368,0.612005798662974,-0.0489959716796875,0.04732943778148291,1.0,1.0,1.0
V_share81,98,0.8134002685546875,0.7630615234375,0.7547451112981125,0.032913130864328614,0.03304772425399737,0.6290231891022918,-0.0503387451171875,-0.058655157256575,1.0,1.0,1.0
V_share81,99,0.8134002685546875,0.794189453125,0.7996360030734854,0.03499526497301592,0.03515511351844172,0.606423282757484,-0.0192108154296875,-0.013764265481202131,1.0,1.0,1.0
V_share81,100,0.8134002685546875,0.777587890625,0.9605140366453231,0.03565846617402688,0.036041615326295066,0.619981719629757,-0.0358123779296875,0.1471137680906356,1.0,0.0,0.0
V_share81,101,0.8134002685546875,0.7813720703125,1.0910912230225707,0.03591249883140129,0.03685397558360341,0.551584364460336,-0.0320281982421875,0.27769095446788317,1.0,0.0,0.0
V_share81,102,0.8134002685546875,0.761962890625,0.7993934386302254,0.03107863185908912,0.03126547500845793,0.5997330115548948,-0.0514373779296875,-0.014006829924462116,1.0,1.0,1.0
V_share81,103,0.8134002685546875,0.7794189453125,0.8352886022038011,0.035293745937240245,0.03546761548799196,0.6131878549422742,-0.0339813232421875,0.021888333649113578,1.0,1.0,1.0
V_share81,104,0.8134002685546875,0.7752685546875,0.9669370913455684,0.029276794179415762,0.029750215484620875,0.644425119432117,-0.0381317138671875,0.15353682279088088,1.0,0.0,0.0
V_share81,105,0.8134002685546875,0.759765625,1.070181402310637,0.03642848712930888,0.03740891677846305,0.5796185163859052,-0.0536346435546875,0.2567811337559496,1.0,0.0,0.0
