label,n,K,dim,W_hat,W_se,V_hat,V_se,h_rmse,eps_band,n_band,rep,W_true,V_true,dgp,feat_q,gamma,W_dev,V_dev,n_varV,W_cover,V_cover
A_dense_d10_n1000_K50,1000,50,10,0.3829545268655944,0.05521133950587201,0.5914306640625,0.06834073547482025,0.6046431942529977,0.007303183389640956,73,65,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.04200834542510723,0.0074310302734375,4.6704561252393555,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4369833019733265,0.052087858919134034,0.584716796875,0.046110400887011245,0.6103282753643056,0.00883353059920961,68,66,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.09603712053283936,0.0007171630859375,2.1261690699608877,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4987588201659611,0.05726814716263682,0.6422119140625,0.04616494556641589,0.6355472516905892,0.008012407444554495,61,67,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.15781263872547396,0.0582122802734375,2.131202199150142,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4740891718611907,0.05831007371893526,0.6260986328125,0.03830935961144151,0.5767284594127776,0.008427805711683996,44,68,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.13314299042070354,0.0420989990234375,1.467607033838746,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4687236808376221,0.05581297508885449,0.560302734375,0.03831742442315705,0.7426468210190428,0.011174874742992972,61,69,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12777749939713495,-0.0236968994140625,1.4682250144243523,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4633137410298704,0.05668839720941588,0.599853515625,0.0541110281128842,0.7311282615513329,0.00970301795062347,74,70,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12236755958938322,0.0158538818359375,2.928003363433344,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.523919616843364,0.05797349681740792,0.6434326171875,0.05071711925865921,0.6808966181029075,0.008758107116109786,68,71,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1829734354028768,0.0594329833984375,2.572226185897061,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3851312986286234,0.05334603805889904,0.601318359375,0.05251572393356229,0.5348852922746627,0.00775178040495872,67,72,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.044185117188136225,0.0173187255859375,2.7579012602661273,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.42275859618479666,0.054802922699206794,0.561767578125,0.04230137154724567,0.6400424102944806,0.009119128680689264,59,73,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0818124147443095,-0.0222320556640625,1.7894060347781255,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5077473280898221,0.06115548583309905,0.67041015625,0.045444694927327514,0.6526615349779009,0.008052701355585109,55,74,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.16680114664933499,0.0864105224609375,2.065220297037867,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.44783845607733336,0.05545118114106937,0.5689697265625,0.04444473916290301,0.7864535165742572,0.009707501824067278,66,75,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1068922746368462,-0.0150299072265625,1.9753348392584844,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.47131041368334764,0.05706122724755089,0.587158203125,0.04354703680439905,0.657949808387231,0.009115612694947052,63,76,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.13036423224286048,0.0031585693359375,1.8963444144436856,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5041264952127343,0.05465629253745974,0.5828857421875,0.03497409436092829,0.651140445224356,0.0100038378981183,52,77,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.16318031377224718,-0.0011138916015625,1.223187276367116,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4219674540399071,0.055635066981367616,0.5802001953125,0.04409987036599601,0.5471684114691725,0.00834497183231325,56,78,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08102127259941994,-0.0037994384765625,1.944798566297653,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.49257464011039637,0.056125320409982936,0.626220703125,0.042731629399216445,0.5982272374891998,0.008840935199155834,58,79,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1516284586699092,0.0422210693359375,1.825992151111979,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.49940805662737897,0.05993683942127229,0.59619140625,0.03500534968188526,0.7963260850255153,0.010278448291154055,54,80,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1584618751868918,0.0121917724609375,1.2253745063510646,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.41708519462881066,0.05834293884491043,0.6119384765625,0.045215820094355,0.5583782439001373,0.007856293631403399,48,81,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0761390131883235,0.0279388427734375,2.0444703868050773,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4400121357810137,0.0560469512335755,0.6123046875,0.04709371400488473,0.6366368992613773,0.008598069421862005,59,82,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.09906595434052656,0.0283050537109375,2.2178178987738764,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.47932417009069556,0.05988219383420245,0.6646728515625,0.045380142554117944,0.6022924311752822,0.00820428068284836,49,83,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1383779886502084,0.0806732177734375,2.0593573382320662,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5669371885600805,0.05728721439171227,0.6435546875,0.04041553585625438,0.6751097161653995,0.00965408421714647,59,84,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.2259910071195933,0.0595550537109375,1.6334155385481837,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.430816537941934,0.059167670040535934,0.6124267578125,0.057438928371283414,0.6911048720112857,0.008378218407251847,70,85,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08987035650144681,0.0284271240234375,3.299230492441427,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4223320089383775,0.05407027706052163,0.5400390625,0.04025783642431627,0.6556196745069791,0.008820491679458283,55,86,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08138582749789036,-0.0439605712890625,1.6206933935670056,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4675961283192304,0.05949895100365724,0.624755859375,0.04816671798568127,0.5395095201998177,0.008254599682814463,63,87,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12664994687874326,0.0407562255859375,2.3200327215121517,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4576139204332078,0.05472838390016133,0.5845947265625,0.0372735225383757,0.667626369514746,0.009105194923857626,55,88,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.11666773899272065,0.0005950927734375,1.3893154824188014,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.46058295370228775,0.060092248434586056,0.64892578125,0.055474184863914325,0.6291193616776017,0.008370494641475192,67,89,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.11963677226180058,0.0649261474609375,3.077385186315741,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4052011762301557,0.05496400231771054,0.598876953125,0.05340665546182782,0.6129871247288857,0.008112600366231048,69,90,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.06425499478966856,0.0148773193359375,2.8522708476183833,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4237523653117503,0.05488279468092885,0.5963134765625,0.04268592391009826,0.7633068023930627,0.0078078503951640715,51,91,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08280618387126315,0.0123138427734375,1.8220881000586984,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.44378470484921306,0.055350997310738614,0.5955810546875,0.057971266135472196,0.6227123284852439,0.00857225249980051,79,92,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1028385234087259,0.0115814208984375,3.3606676973497454,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4978273023724481,0.0558681047506766,0.613037109375,0.04649025005171734,0.6093667550876892,0.00933748152424028,60,93,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.15688112093196094,0.0290374755859375,2.1613433498712045,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4211528389456625,0.05296904282358851,0.57568359375,0.04035217763498558,0.6112430939649685,0.008732490963399921,56,94,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08020665750517536,-0.0083160400390625,1.6282982398854307,1.0,1.0
