p,n,K,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,W_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover,V_sqerr_plug,V_sqerr_loo
1.6,1000,80,45,0.22573558700716836,0.5,0.5110841811023766,0.2666164238384777,0.5357666015625,0.04226896989664924,0.005701780338412192,71,0.07389106287282872,0.33891236394272684,0.22878974651570747,0.0357666015625,1.0,-0.16108763605727316,0.0,0.04088083683130936,1.0,0.0030541595085391005,1.0,0.0012792497873306274,0.025949226490520495
1.6,1000,80,46,0.22573558700716836,0.5,0.27115620177020994,0.17936640783973395,0.3388671875,0.036414588959373016,0.004440671044480485,30,0.04640795164058322,0.10085910893650638,0.14758968658427044,-0.1611328125,0.0,-0.3991408910634936,0.0,-0.04636917916743441,1.0,-0.07814590042289793,0.0,0.025963783264160156,0.15931345091895965
1.6,1000,80,47,0.22573558700716836,0.5,0.35569560037435183,0.2738820409609175,0.4400634765625,0.0413362561955779,0.005685385440857754,54,0.06188309335050578,0.3720011148067366,0.24523172340500463,-0.0599365234375,1.0,-0.1279988851932634,0.0,0.04814645395374914,1.0,0.01949613639783626,1.0,0.003592386841773987,0.016383714610718227
1.6,1000,80,48,0.22573558700716836,0.5,0.32395251055218144,0.3051746370352515,0.7232666015625,0.05108479306057615,0.0041998941713663925,64,0.09118178798284927,0.7464888303983742,0.25783104801777584,0.2232666015625,0.0,0.24648883039837421,0.0,0.07943905002808313,1.0,0.03209546101060748,1.0,0.04984797537326813,0.060756743511158486
1.6,1000,80,49,0.22573558700716836,0.5,0.3769432785245047,0.3210004471690535,0.6248779296875,0.05007694104985478,0.0050306982136049515,44,0.04565788269115011,0.6247430827256966,0.2926736699323385,0.1248779296875,0.0,0.12474308272569656,0.0,0.09526486016188515,1.0,0.06693808292517014,1.0,0.015594497323036194,0.015560836687909977
1.6,1000,80,50,0.22573558700716836,0.5,0.28805239740906724,0.24663649975495605,0.5931396484375,0.04601333682169633,0.004548345321117989,50,0.05916823371515817,0.5873236840214118,0.21693323878301474,0.0931396484375,1.0,0.08732368402141177,1.0,0.020900912747787687,1.0,-0.008802348224153628,1.0,0.008674994111061096,0.007625425791071366
1.6,1000,80,51,0.22573558700716836,0.5,0.3363536622220687,0.25853351124251744,0.4462890625,0.041057542589331975,0.006000159496039539,73,0.07094708018298825,0.47527565696528407,0.2278704186996609,-0.0537109375,1.0,-0.024724343034715934,1.0,0.03279792423534908,1.0,0.0021348316924925392,1.0,0.0028848648071289062,0.0006112931384983063
1.6,1000,80,52,0.22573558700716836,0.5,0.4255356978450391,0.2621045737079849,0.541015625,0.043591425661505916,0.005528680329103321,75,0.07341927798413204,0.5264006189963487,0.22222774581495308,0.041015625,1.0,0.026400618996348713,1.0,0.036368986700816536,1.0,-0.003507841192215283,1.0,0.001682281494140625,0.0006969926833903685
1.6,1000,80,53,0.22573558700716836,0.5,0.2957393925025673,0.28627524546747196,0.60693359375,0.048438364759409755,0.0049441606927071525,71,0.07345523298187169,0.37359294125406617,0.24595462882827995,0.10693359375,1.0,-0.12640705874593383,1.0,0.0605396584603036,1.0,0.02021904182111159,1.0,0.011434793472290039,0.015978744500797965
1.6,1000,80,54,0.22573558700716836,0.5,0.33493958370822974,0.2135006631728682,0.570068359375,0.042225162557911346,0.004145500470186788,49,0.0689661278180643,0.6169831774854371,0.16277068086434757,0.070068359375,1.0,0.11698317748543707,1.0,-0.012234923834300165,1.0,-0.0629649061428208,1.0,0.00490957498550415,0.013685063814589272
1.6,1000,80,55,0.22573558700716836,0.5,0.35922389606636396,0.2912908778545547,0.5499267578125,0.04782709334125194,0.00579907057067987,36,0.03972576921592507,0.6780634075368195,0.2620615405166591,0.0499267578125,1.0,0.17806340753681948,0.0,0.06555529084738634,1.0,0.03632595350949072,1.0,0.00249268114566803,0.031706577103623464
1.6,1000,80,56,0.22573558700716836,0.5,0.35364374544060584,0.27621742577629566,0.5704345703125,0.04711301196967738,0.005394219036707822,94,0.14152976475986734,0.7575205698682321,0.21870256615002093,0.0704345703125,1.0,0.25752056986823213,1.0,0.05048183876912729,1.0,-0.007033020857147437,1.0,0.004961028695106506,0.06631684390525902
1.6,1000,80,57,0.22573558700716836,0.5,0.30427327995053416,0.28876944434827323,0.5159912109375,0.046372054180719526,0.0060107244034453555,65,0.07521828057474378,0.5523895552686229,0.2582684485112061,0.0159912109375,1.0,0.05238955526862288,1.0,0.06303385734110487,1.0,0.03253286150403775,1.0,0.00025571882724761963,0.0027446655012440912
1.6,1000,80,58,0.22573558700716836,0.5,0.3692545286539797,0.25366930939991256,0.471923828125,0.0417538732824877,0.005476278911917922,69,0.0709136227268844,0.4053443789696902,0.2218845507553875,-0.028076171875,1.0,-0.09465562103030978,1.0,0.027933722392744192,1.0,-0.003851036251780876,1.0,0.000788271427154541,0.008959686592633622
1.6,1000,80,59,0.22573558700716836,0.5,0.30982195517157185,0.27369490695140253,0.6082763671875,0.04867932818984492,0.00446273233730912,48,0.07073342216716727,0.5117687550020031,0.24174478013014053,0.1082763671875,1.0,0.01176875500200314,1.0,0.04795931994423416,1.0,0.016009193122972165,1.0,0.011723771691322327,0.00013850359429717392
1.6,1000,80,60,0.22573558700716836,0.5,0.3112755495766924,0.25243129041394574,0.5802001953125,0.0453231397229878,0.004823950394983292,60,0.07167205889122354,0.5634231565060874,0.2077556211874366,0.0802001953125,1.0,0.06342315650608743,1.0,0.026695703406777377,1.0,-0.01797996581973177,1.0,0.006432071328163147,0.004022496781195661
1.6,1000,80,61,0.22573558700716836,0.5,0.3745511318530621,0.3657211685255214,0.49755859375,0.04142263979809739,0.006360615622242707,48,0.04983894534945713,0.4899708885832365,0.3394725912260123,-0.00244140625,1.0,-0.010029111416763492,1.0,0.13998558151835302,0.0,0.11373700421884395,0.0,5.9604644775390625e-06,0.00010058307580985583
