shift,n,rep,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover
-0.55,4000,80,0.8134002685546875,0.6128200741363898,0.7226620720983485,0.773193359375,0.032582871627901314,0.008272153738635834,52,0.03409280348808966,0.6726767885583399,-0.0402069091796875,1.0,-0.1407234799963476,0.0
-0.55,4000,81,0.8134002685546875,0.6051795667035001,0.7556744504563004,0.7724609375,0.032219093715910176,0.008699512311552112,53,0.03294329224200077,0.8337940411146751,-0.0409393310546875,1.0,0.020393772559987644,1.0
-0.55,4000,82,0.8134002685546875,0.5511752435619653,0.6776899827274416,0.756103515625,0.03211447332197378,0.00816661422531712,54,0.03666759562121195,0.499210291663671,-0.0572967529296875,1.0,-0.3141899768910165,0.0
-0.55,4000,83,0.8134002685546875,0.5774436523049035,0.7702360186759016,0.7955322265625,0.03314067175564129,0.008147770914099132,32,0.02619827810914726,0.8535913828203558,-0.0178680419921875,1.0,0.04019111426566835,1.0
-0.55,4000,84,0.8134002685546875,0.602894877168308,0.7459186553561773,0.79248046875,0.03235086120848244,0.008108162921874686,49,0.035767578798028436,0.5347335223152689,-0.0209197998046875,1.0,-0.27866674623941856,0.0
-0.55,4000,85,0.8134002685546875,0.5757082376106012,0.7515203561436873,0.793701171875,0.032153335233159885,0.008056928354694615,41,0.03195320646650367,0.8705688459829699,-0.0196990966796875,1.0,0.05716857742828241,1.0
-0.55,4000,86,0.8134002685546875,0.5662155534634586,0.7501736456508101,0.789794921875,0.03262834933055015,0.008176002457262533,52,0.03639930911289647,0.890963507417837,-0.0236053466796875,1.0,0.07756323886314953,0.0
-0.55,4000,87,0.8134002685546875,0.6205306122849011,0.726222894296147,0.7427978515625,0.03197440902602984,0.009175855686221965,50,0.030677202342832183,0.8163965441022669,-0.0706024169921875,0.0,0.002996275547579419,1.0
-0.55,4000,88,0.8134002685546875,0.6263753274065803,0.7553504027028303,0.7750244140625,0.032904717688243997,0.008575182772569096,51,0.030531747106616235,0.6705053719089626,-0.0383758544921875,1.0,-0.14289489664572486,0.0
-0.55,4000,89,0.8134002685546875,0.6140471077630654,0.7555677107387454,0.7691650390625,0.033037353349526184,0.008850253586336865,43,0.02717787147460081,0.9821596965120919,-0.0442352294921875,1.0,0.1687594279574044,0.0
-0.55,4000,90,0.8134002685546875,0.6552012895201188,0.7741641766455748,0.765869140625,0.03207234408536931,0.009062677369538507,77,0.042892853522587086,0.7920189562692954,-0.0475311279296875,1.0,-0.021381312285392085,1.0
-0.55,4000,91,0.8134002685546875,0.5674157352874287,0.6648978012922332,0.753662109375,0.03177748025053946,0.007991938273586591,71,0.042567309504207965,0.7503438415283852,-0.0597381591796875,1.0,-0.06305642702630232,1.0
-0.55,4000,92,0.8134002685546875,0.6182895330063557,0.7943107652980741,0.777099609375,0.03392186838835836,0.008858051268144495,47,0.03278931158223905,0.8089819354364539,-0.0363006591796875,1.0,-0.004418333118233586,1.0
-0.55,4000,93,0.8134002685546875,0.6136771004941202,0.6936088937291844,0.7413330078125,0.03212006817000284,0.008530077101793617,58,0.03349550232009982,0.6644964087039775,-0.0720672607421875,0.0,-0.14890385985070997,0.0
-0.55,4000,94,0.8134002685546875,0.628180918305823,0.696994568059383,0.7498779296875,0.033067826643565924,0.008574961260182338,61,0.03400385694047761,0.8357295267667406,-0.0635223388671875,1.0,0.022329258212053116,1.0
