est,n,n_rep,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95,mean_len,dgp,quad_full_mean,quad_full_sd,corner_mean,corner_sd,corr_riesz_mean,corr_riesz_sd,quad_S_mean,quad_S_sd,quad_Y_mean,quad_Y_sd
cf_gbr,4000,500,0.20872323163129647,0.00973426836870353,0.023822769937288355,0.02571274585539129,0.020199460920421637,0.8479056370688712,0.886,0.07918043244686654,affine,,,,,,,,,,
cf_riesz_gbr,4000,500,0.20872323163129647,0.007712720971673387,0.02409858377664377,0.025279761101456816,0.020199460920421637,0.83820116184582,0.876,0.07918043244686654,affine,,,,,,,,,,
dd_gbr,4000,500,0.20872323163129647,-0.0013847790283266215,0.03249590611095492,0.0324929155217156,0.020199460920421637,0.6216001748482421,0.78,0.07918043244686654,affine,0.03596800000000001,0.07594235615858805,0.00046799999999999067,0.017967042194262827,-0.0020215473970301347,0.007640217655761557,,,,
plugin,4000,500,0.20872323163129647,0.001196268368703568,0.024871984762016963,0.02487588094439995,0.024929715152198995,1.0023211010594617,0.94,0.0977226884571291,affine,,,,,,,,,,
ss,4000,500,0.20872323163129647,0.00030901836870353416,0.026788092176420565,0.02676307476803994,0.024929715152198995,0.9306267496773304,0.932,0.0977226884571291,affine,0.006182000000000015,0.04631845933697172,0.00019799999999999996,0.008432616084469644,,,0.0020220000000000073,0.02292161243528183,0.003962000000000008,0.039739993585560136
ss_margins,4000,500,0.20872323163129647,0.0003337683687035242,0.026696790551515793,0.026672168824899617,0.024929715152198995,0.9338094444009313,0.934,0.09772268845712911,affine,,,,,,,,,,
cf_gbr,8000,500,0.20872323163129647,0.0036407683687035286,0.01744592824485557,0.017804687186652627,0.01507321580409822,0.8639962054494285,0.9,0.05908592068052712,affine,,,,,,,,,,
cf_riesz_gbr,8000,500,0.20872323163129647,0.0021644691273258465,0.018240535967141584,0.018350385409222212,0.01507321580409822,0.8263581635567638,0.886,0.05908592068052712,affine,,,,,,,,,,
dd_gbr,8000,500,0.20872323163129647,-0.0035635308726741366,0.024050960346192012,0.024289721045484533,0.01507321580409822,0.6267199141794253,0.778,0.05908592068052712,affine,0.022624000000000002,0.05332307497368563,0.0005719999999999938,0.010058935349266421,-0.0014762992413776608,0.0046891313311121586,,,,
plugin,8000,500,0.20872323163129647,-0.0012864816312964378,0.017132968449842738,0.017164106900015602,0.017127559913791644,0.9996843199666813,0.954,0.06713880167774945,affine,,,,,,,,,,
ss,8000,500,0.20872323163129647,-0.0021821066312964488,0.017811700030818244,0.017927178640885548,0.017127559913791644,0.9615904087850747,0.932,0.06713880167774945,affine,0.0056929999999999975,0.021234478027826072,0.00025599999999999045,0.003885570655468406,,,-0.0004889999999999924,0.010043361849225035,0.005925999999999999,0.01806663584238423
ss_margins,8000,500,0.20872323163129647,-0.0021501066312964723,0.01781094496912675,0.017922562866337505,0.017127559913791644,0.9616311736115251,0.93,0.06713880167774945,affine,,,,,,,,,,
