expansion,K,p,spec,n,rep,W_hat,W_true,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,157,0.9302910543486427,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,158,1.0263477839551838,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,159,1.0155988050819156,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,160,1.0149766333331702,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,161,1.026758561087445,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,162,1.0520148285640407,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,163,1.009465493530247,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,164,1.057744425818764,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,165,0.8945901399593428,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,166,1.0071077361821132,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,167,0.9672374758692523,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,168,0.9701538463262883,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,169,1.0638721876498807,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,170,1.0667559077068804,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,171,0.9667472780470817,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,172,0.9165005615647606,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,173,0.9138297844640031,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,174,1.1106922469059075,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,175,1.014439038752971,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,176,1.0349313770489799,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,177,1.087425961418311,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,178,0.9425306954417515,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,179,1.034441427853764,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,180,1.0338477646875144,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,181,0.9944142200996078,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,182,0.962659729756999,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,183,0.9914091928309101,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,184,1.0354767181822562,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,185,0.9392594701206272,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,186,1.031472798287877,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,187,1.0965380993570757,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,188,1.0230291465176777,1.0,iid_sphere,exp,100,0.001
